;NU_ANO_CENSO;SG_IES;CO_IES;NO_CURSO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;NO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_VG_TOTAL;QT_ING_ENEM;QT_ING_VESTIBULAR;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_MAT_NACESTRANG;QT_CONC_NACESTRANG;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_MAT_FINANC;QT_CONC_FINANC;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA
35;2018;UNB;2;CIENCIAS ECONOMICAS;UNIVERSIDADE;PUBLICA;ECONOMIA;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;CIENCIAS SOCIAIS E COMPORTAMENTAIS;ECONOMIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;123.0;27.0;25.0;123.0;0.0;442.0;124.0;318.0;442.0;0.0;1.0;368.0;51.0;18.0;4.0;0.0;0.0;0.0;183.0;33.0;142.0;6.0;0.0;78.0;42.0;12.0;30.0;42.0;0.0;0.0;25.0;16.0;1.0;0.0;0.0;0.0;0.0;16.0;3.0;22.0;1.0;0.0;0.0;11.0;0.0;1.0;0.0;0.0;0.0;163.0;279.0;0.0;11.0;31.0;0.0
36;2018;UNB;2;CIENCIAS FARMACEUTICAS;UNIVERSIDADE;PUBLICA;FARMACIA;SAUDE E BEM-ESTAR;SAUDE;FARMACIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;94.0;20.0;20.0;94.0;0.0;358.0;267.0;91.0;358.0;0.0;6.0;316.0;27.0;5.0;2.0;1.0;0.0;1.0;138.0;31.0;133.0;10.0;0.0;46.0;50.0;41.0;9.0;50.0;0.0;0.0;40.0;9.0;1.0;0.0;0.0;0.0;0.0;26.0;5.0;18.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;155.0;203.0;0.0;11.0;39.0;0.0
37;2018;UNB;2;CIENCIAS NATURAIS;UNIVERSIDADE;PUBLICA;CIENCIAS NATURAIS FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;80.0;32.0;14.0;0.0;80.0;182.0;94.0;88.0;0.0;182.0;2.0;133.0;30.0;5.0;2.0;8.0;2.0;0.0;46.0;23.0;82.0;4.0;3.0;24.0;27.0;16.0;11.0;0.0;27.0;0.0;13.0;11.0;1.0;1.0;1.0;0.0;0.0;7.0;5.0;15.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;145.0;37.0;0.0;27.0;0.0;0.0
38;2018;UNB;2;CIENCIAS NATURAIS;UNIVERSIDADE;PUBLICA;CIENCIAS NATURAIS FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;81.0;27.0;14.0;81.0;0.0;176.0;106.0;70.0;176.0;0.0;1.0;131.0;23.0;9.0;4.0;7.0;1.0;0.0;42.0;21.0;81.0;6.0;1.0;25.0;19.0;12.0;7.0;19.0;0.0;0.0;6.0;7.0;3.0;2.0;1.0;0.0;0.0;4.0;3.0;11.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;125.0;51.0;0.0;16.0;3.0;0.0
39;2018;UNB;2;CIENCIAS SOCIAIS;UNIVERSIDADE;PUBLICA;CIENCIAS SOCIAIS;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;CIENCIAS SOCIAIS E COMPORTAMENTAIS;CIENCIAS SOCIAIS E POLITICAS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;16.0;0.0;0.0;16.0;0.0;87.0;45.0;42.0;87.0;0.0;0.0;59.0;17.0;5.0;2.0;3.0;1.0;0.0;39.0;9.0;31.0;0.0;2.0;6.0;24.0;13.0;11.0;24.0;0.0;0.0;18.0;3.0;1.0;1.0;1.0;0.0;0.0;14.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;57.0;0.0;2.0;22.0;0.0
40;2018;UNB;2;CIENCIAS SOCIAIS;UNIVERSIDADE;PUBLICA;CIENCIAS SOCIAIS;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;CIENCIAS SOCIAIS E COMPORTAMENTAIS;CIENCIAS SOCIAIS E POLITICAS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;26.0;0.0;0.0;26.0;0.0;151.0;78.0;73.0;151.0;0.0;0.0;112.0;26.0;5.0;3.0;1.0;4.0;0.0;58.0;15.0;46.0;1.0;1.0;30.0;25.0;13.0;12.0;25.0;0.0;0.0;12.0;12.0;1.0;0.0;0.0;0.0;0.0;12.0;2.0;10.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;61.0;90.0;0.0;8.0;17.0;0.0
41;2018;UNB;2;CIENCIAS SOCIAIS;UNIVERSIDADE;PUBLICA;CIENCIAS SOCIAIS;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;CIENCIAS SOCIAIS E COMPORTAMENTAIS;CIENCIAS SOCIAIS E POLITICAS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;12.0;0.0;0.0;12.0;0.0;105.0;69.0;36.0;105.0;0.0;0.0;66.0;23.0;5.0;3.0;6.0;2.0;0.0;47.0;18.0;28.0;1.0;3.0;8.0;36.0;24.0;12.0;36.0;0.0;0.0;17.0;10.0;3.0;1.0;3.0;2.0;0.0;21.0;4.0;7.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;42.0;63.0;0.0;13.0;23.0;0.0
42;2018;UNB;2;CIENCIAS SOCIAIS;UNIVERSIDADE;PUBLICA;CIENCIAS SOCIAIS FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;28.0;0.0;0.0;28.0;0.0;274.0;171.0;103.0;274.0;0.0;0.0;224.0;40.0;9.0;0.0;1.0;0.0;0.0;98.0;40.0;96.0;0.0;3.0;37.0;64.0;36.0;28.0;64.0;0.0;0.0;35.0;24.0;5.0;0.0;0.0;0.0;0.0;32.0;7.0;21.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;147.0;127.0;0.0;24.0;40.0;0.0
43;2018;UNB;2;COMPUTACAO;UNIVERSIDADE;PUBLICA;COMPUTACAO FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;104.0;22.0;26.0;0.0;104.0;272.0;32.0;240.0;0.0;272.0;1.0;183.0;55.0;17.0;8.0;5.0;2.0;1.0;118.0;17.0;98.0;6.0;1.0;32.0;19.0;5.0;14.0;0.0;19.0;0.0;5.0;8.0;3.0;2.0;1.0;0.0;0.0;12.0;2.0;4.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;118.0;154.0;0.0;6.0;13.0;0.0
44;2018;UNB;2;COMUNICACAO ORGANIZACIONAL;UNIVERSIDADE;PUBLICA;RELACOES PUBLICAS;NEGOCIOS, ADMINISTRACAO E DIREITO;NEGOCIOS E ADMINISTRACAO;MARKETING E PROPAGANDA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;92.0;19.0;22.0;0.0;92.0;380.0;234.0;146.0;0.0;380.0;2.0;311.0;46.0;15.0;4.0;1.0;1.0;0.0;169.0;38.0;116.0;4.0;2.0;51.0;54.0;35.0;19.0;0.0;54.0;0.0;38.0;13.0;3.0;0.0;0.0;0.0;0.0;38.0;4.0;11.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;156.0;224.0;0.0;13.0;41.0;0.0
